Артикул;Название;Ссылка;"Краткое описание";"Полное описание";Цена;"Оптовая цена";"Склад 1";"Суммарно на складах";Категория;Изображения
FilterW160;"Фильтры Ferei Glass Filter Kit W160 F";http://avantmarket.com/filtry-ferei-glass-filter-kit-w160-f;"Набор из двух фильтров для фонарей Ferei W160.";"Набор из для фонарей Ferei W160 состоящий из двух фильтров: желтого и диффузорного.  Размеры: 61mm x 4mm";510,00;258,00;1;1;"Аксессуары Ferei";"http://avantmarket.com/wa-data/public/shop/products/88/21/2188/images/7836/7836.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/88/21/2188/images/7837/7837.750x0.jpg"
FilterW170;"Фильтры Ferei Glass Filter Kit W170 F";http://avantmarket.com/filtry-ferei-glass-filter-kit-w170-f;"Набор из двух фильтров для фонарей Ferei W170 и W172.";"Набор из для фонарей Ferei W170 и W172 состоящий из двух фильтров: желтого и диффузорного.  Размеры: 90mm x 4mm";800,00;560,00;1;1;"Аксессуары Ferei";"http://avantmarket.com/wa-data/public/shop/products/89/21/2189/images/7838/7838.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/89/21/2189/images/7839/7839.750x0.jpg"
Pdif;"Рассеивающий фильтр Polarion";http://avantmarket.com/rasseivajushij-filtr-polarion;" 
Рассеивает луч широким углом
Фасетчатая структура
 ";" 
Рассеивает луч широким углом
Фасетчатая структура
 ";0,00;0,00;0;0;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/75/07/775/images/3608/3608.750x0.jpg
Pir;"ИК-фильтр Polarion";http://avantmarket.com/ik-filtr-polarion;" 

Фильтр для ИК-света 850нм
Используется для подсветки приборов ночного видения
Дальность ИК-подсветки до 100м.
Свет абсолютно не виден невооруженным глазом

 ";" 

Фильтр для ИК-света 850нм
Используется для подсветки приборов ночного видения
Дальность ИК-подсветки до 100м.
Свет абсолютно не виден невооруженным глазом

 ";0,00;0,00;0;0;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/77/07/777/images/3610/3610.750x0.jpg
Puf;"УФ-фильтр Polarion";http://avantmarket.com/uf-filtr-polarion;" 

УФ-фильтр для света с длиной волны 365нм.
Используется для поиска подранков, криминалистики
Проверка банкнот с расстояния 50м
Свет не виден невооруженным глазом

 ";" 

УФ-фильтр для света с длиной волны 365нм.
Используется для поиска подранков, криминалистики
Проверка банкнот с расстояния 50м
Свет не виден невооруженным глазом

 ";0,00;0,00;0;0;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/78/07/778/images/3611/3611.750x0.jpg
Pred;"Красный фильтр Polarion";http://avantmarket.com/krasnyj-filtr-polarion;" 

Используется на предутренней охоте, для подачи сигналов
Сохраняет ночное зрение
Зеркальное покрытие
Высококачественное закаленное стекло

 ";" 

Используется на предутренней охоте, для подачи сигналов
Сохраняет ночное зрение
Зеркальное покрытие
Высококачественное закаленное стекло

 ";2200,00;1900,00;1;1;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/79/07/779/images/3612/3612.750x0.jpg
Pblue;"Синий фильтр Polarion";http://avantmarket.com/sinij-filtr-polarion;" 

Используется для подачи сигналов
Зеркальное покрытие
Высококачественное закаленное стекло

 ";" 

Используется для подачи сигналов
Зеркальное покрытие
Высококачественное закаленное стекло

 ";2200,00;1900,00;1;1;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/80/07/780/images/3613/3613.750x0.jpg
Pgreen;"Зеленый фильтр Polarion";http://avantmarket.com/zelenyj-filtr-polarion;" 

Используется для подачи сигналов, поисков загрязнений в ""чистых комнатах""
Зеркальное покрытие
Высококачественное закаленное стекло
";" 

Используется для подачи сигналов, поисков загрязнений в ""чистых комнатах""
Зеркальное покрытие
Высококачественное закаленное стекло

 ";0,00;0,00;0;0;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/81/07/781/images/3614/3614.750x0.jpg
Pyellow;"Желтый фильтр Polarion";http://avantmarket.com/zheltyj-filtr-polarion;"Для тумана, дыма, мутной воды
Зеркальное покрытие
Высококачественное закаленное стекло
 ";" 
Для тумана, дыма, мутной воды
Зеркальное покрытие
Высококачественное закаленное стекло
 ";2200,00;1900,00;1;1;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/82/07/782/images/3615/3615.750x0.jpg
Pcar;"Зарядное устройство от прикуривателя Polarion";http://avantmarket.com/zarjadnoe-ustrojstvo-ot-prikurivatelja-polarion;"Зарядное устройство от прикуривателя Polarion";"Зарядное устройство от прикуривателя Polarion";1900,00;1660,00;1;1;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/83/07/783/images/3623/3623.750x0.jpg
PolAk;"Аккумуляторный блок для Polarion PH/PF";http://avantmarket.com/akkumuljatornyj-blok-dlja-polarion-phpf;" 

Штатный запасной аккумулятор.
Емкость 4400мАч
Напряжение 14.4В

 ";" 

Штатный запасной аккумулятор.
Емкость 4400мАч
Напряжение 14.4В

 ";9900,00;8600,00;1;1;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/86/07/786/images/3620/3620.750x0.jpg
Ptitan;"Титановый защитный фильтр Polarion";http://avantmarket.com/titanovyj-zashitnyj-filtr-polarion_1z;"
 

Прочная и легкая титановая сетка
Защита от камней в тяжелых условиях эксплуатации
Минимальное влияние на форму и яркость света





 ";" 

Прочная и легкая титановая сетка
Защита от камней в тяжелых условиях эксплуатации
Минимальное влияние на форму и яркость света

";0,00;0,00;0;0;"Аксессуары Polarion";http://avantmarket.com/wa-data/public/shop/products/31/12/1231/images/4707/4707.750x0.jpg
F244;"Крепление к оружию 7 см универсальное";http://avantmarket.com/kreplenie-k-oruzhiju-7sm-universalnoe;"Подствольная часть из стали.Кольцо из алюминия.Подходит для нарезного оружия или на планку ПикатиниРазмеры:Минимальная высота крепления:60ммДлина: 60 ммШирина: 40 ммВысота: 21 ммДиаметр кольца: 25 мм";"Подствольная часть из стали.Кольцо из алюминия.Подходит для нарезного оружия или на планку ПикатиниРазмеры:Минимальная высота крепления:60ммДлина: 60 ммШирина: 40 ммВысота: 21 ммДиаметр кольца: 25 мм
";360,00;250,00;11;11;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/98/06/698/images/3378/3378.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/98/06/698/images/4421/4421.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/98/06/698/images/4425/4425.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/98/06/698/images/4426/4426.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/98/06/698/images/4438/4438.750x0.jpg"
